No.,Youtube trending,Details
1,"MINECRAFT, BUT WE CAN CRAFT STRUCTURES",":3.3M Views, :345.2K Likes, :7.4K Dislikes, :34.4K Comments "
2,Smart wife😂 #shorts by Tsuriki Show,":22M Views, :310.4K Likes, :22.9K Dislikes, :1.7K Comments "
3,is Triggered Insaan Adopted?? QNA😂😂 Google's Most Searched Questions About Me - Roasting Myself,":3.4M Views, :577.1K Likes, :6K Dislikes, :36.9K Comments "
4,Father Saab ( Official Video ) - Amit Bhadana | King | Section 8 | Teji Sandhu,":23.4M Views, :1.2M Likes, :15.8K Dislikes, :176.7K Comments "
5,"Shershaah - Official Trailer | Vishnu Varadhan | Sidharth Malhotra, Kiara Advani | Aug 12",":30M Views, :358.9K Likes, :12.8K Dislikes, :24.3K Comments "
6,Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts,":52.7M Views, :4.8M Likes, :75.6K Dislikes, :64.7K Comments "
7,"Mrs.Hitler - Monday - Saturday, 8.30 PM - Promo - Zee Keralam",":744.8K Views, :0 Likes, :0 Dislikes, :261 Comments "
8,Hungry Birds Ye Kaha Gaye ???,":883.6K Views, :49.5K Likes, :1.9K Dislikes, :5.2K Comments "
9,Guess the color challenge😁 #shorts by Tsuriki Show,":12.1M Views, :266.1K Likes, :20.5K Dislikes, :485 Comments "
10,Minecraft unsolved mysteries | Minecraft in Hindi,":798.9K Views, :64.3K Likes, :1.2K Dislikes, :2.9K Comments "
11,Low Budget Ayan Movie | செல்போனில் தத்ரூபமாக அயன் படக் காட்சிகளை ரீமேக் செய்த இளைஞர்கள் | AYAN SURYA,":1M Views, :62.6K Likes, :822 Dislikes, :1.2K Comments "
12,POTATO STICKS | Crispy Potato Fry Recipe Cooking In Village | Aloo Snacks | Potato Snack Recipe,":3.8M Views, :202K Likes, :5K Dislikes, :8.1K Comments "
13,Sunita's Home Tour 🏠🏡 | Welcome to My Home | Sunita Xpress,":532.3K Views, :35.7K Likes, :368 Dislikes, :9.7K Comments "
14,Advanced Cup Cake Decorating Idea | Caketube #shorts,":1.7M Views, :47.7K Likes, :2.6K Dislikes, :154 Comments "
15,Backbenchers - School love || Ep-14 || Dorasai Teja || Varsha Dsouza || Tejindia || Infinitum Media,":2.7M Views, :255.7K Likes, :3.7K Dislikes, :8.8K Comments "
16,"PAUNE 12 : Karan Randhawa (Official Video) Shipra Goyal, Anjali Arora | New Punjabi Songs | Geet MP3",":1.1M Views, :103.2K Likes, :2.4K Dislikes, :17.7K Comments "
17,MY FIRST GIRLFRIEND || MIDDLE CLASS BOY || THE SHIVAM,":547.6K Views, :12K Likes, :1.7K Dislikes, :452 Comments "
18,When You Have a Younger Brother | PART 3 | ft Sam Vishal & Eniyan | Sema Bruh,":290.6K Views, :32.1K Likes, :305 Dislikes, :1.3K Comments "
19,Rajiv Kanakala Gives Calrity on Clashes with Anchor Suma | Rajiv Kanakala Latest Interview | Sumantv,":630.7K Views, :6.1K Likes, :687 Dislikes, :826 Comments "
20,"Zoramthanga, Mizoram CM Blames Assam Police For Assam-Mizoram Tensions | The Right Stand |CNN News18",":82.8K Views, :3.1K Likes, :490 Dislikes, :1.2K Comments "
21,"Sapna Choudhary : Bagdo Nachi Saman Me | Ruchika Jangid, Kay D | New Haryanvi Songs Haryanavi 2021",":3.6M Views, :111.4K Likes, :2.9K Dislikes, :19.6K Comments "
22,Anaya Ka Birthday | A Funny Comedy DIML Vlog | ShrutiArjunAnand,":2.5M Views, :148.3K Likes, :7.1K Dislikes, :13.9K Comments "
23,DRONE ആക്രമണം😱 & പഞ്ചറായ ചന്തിയും 🍑,":497.4K Views, :61.2K Likes, :831 Dislikes, :3K Comments "
24,My Relax Day Routine at Home👨‍👦🐶🎋| Mr Makapa,":468.8K Views, :28.7K Likes, :348 Dislikes, :765 Comments "
25,TINDER CHATS REVIEW #2,":1.6M Views, :180.5K Likes, :2.2K Dislikes, :3K Comments "
26,BOL BABY BOL | बोल बेबी बोल | #Couple challenge | Husband vs Wife Funny game show | Ruchi and Piyush,":2.1M Views, :79K Likes, :5.8K Dislikes, :16.6K Comments "
27,"Got Everything In 1 Diamond In Subscriber Account 😍 Buying 12,000 Diamonds - Garena Free Fire",":2M Views, :168.4K Likes, :6.5K Dislikes, :7.3K Comments "
28,तेरा मेरा साथ रहे,":1.1M Views, :27.3K Likes, :674 Dislikes, :1.8K Comments "
29,കല്യാണപെണ്ണിനെ ഓടിച്ചിട്ട്‌ തല്ലി 🥺 Marriage Prank Gone Wrong,":1.1M Views, :74.5K Likes, :5.3K Dislikes, :4.7K Comments "
30,Sri Ujjaini Mahankali Ammavari Bonalu Celebrations 2021 |Future Predictions By Rangam Bhavishyavani,":212.8K Views, :2.7K Likes, :235 Dislikes, :353 Comments "
31,"If You Can Carry $1,000,000 You Keep It!",":20.6M Views, :1.1M Likes, :10.9K Dislikes, :45.6K Comments "
32,Terii Umeed (Studio Version) | Himesh Ke Dil Se The Album| Himesh Reshammiya | Pawandeep | Arunita,":14M Views, :423.4K Likes, :15.2K Dislikes, :24.6K Comments "
33,"Enemy (Tamil) - Official Teaser | Vishal,Arya | Anand Shankar | Vinod Kumar | Thaman S, Sam CS",":12.9M Views, :239K Likes, :3.4K Dislikes, :8.1K Comments "
34,AKHIL : Shopping Karwade (Official Video) BOB | Sukh Sanghera | New Punjabi Songs 2021,":5M Views, :61.9K Likes, :2.8K Dislikes, :2.8K Comments "
35,Getting Married For 24 Hours ft. @Nagma Mirajkar ❤️ (Long Format) #Nawez #Atrangz,":430.2K Views, :47.9K Likes, :1.1K Dislikes, :17K Comments "
36,Behind the Scenes of Aashadamlo Athakodallu | Event Vlog | Special Event | BTS | Anchor Ravi,":370.7K Views, :12.4K Likes, :311 Dislikes, :820 Comments "
37,Dhagad Web Series || Episode - 7 || Chandoo Gadu || Infinitum Media,":790K Views, :53.7K Likes, :2.3K Dislikes, :2.9K Comments "
38,Smartphone And Marker Trick - इसने सबके होश उड़ा दिये 😂,":1.3M Views, :156.6K Likes, :2.3K Dislikes, :9.6K Comments "
39,Taakre ( Official Teaser ) Gur Sidhu |Jassa Dhillon | Latest Punjabi Song 2021 | Nothing Like Before,":688.1K Views, :45.1K Likes, :573 Dislikes, :2.3K Comments "
40,Rambuttan 2.0 | Ahaana Krishna | Home Vlog,":491.2K Views, :34.9K Likes, :2.6K Dislikes, :9.9K Comments "
41,Road trip | BakLol Video,":1.7M Views, :44.2K Likes, :4.5K Dislikes, :3.3K Comments "
42,"RRR - Audio Announcement | NTR, Ram Charan, Ajay Devgn, Alia Bhatt | SS Rajamouli | M.M. Keeravaani",":1.1M Views, :57.6K Likes, :1.3K Dislikes, :2.1K Comments "
43,Rajeev Kanakala Real Facts First Time About Clashes With Jr NTR Real Behavior | Latest Interview,":87.1K Views, :1.5K Likes, :71 Dislikes, :47 Comments "
44,OUR NEW SMART ROOM TOUR ❤️,":749.9K Views, :66.5K Likes, :1.5K Dislikes, :2.9K Comments "
45,Lucky Cake | The Journey of a Dog Cake | Vlog |Vidhu Prathap |Deepthi Vidhu Prathap,":210.5K Views, :13.4K Likes, :112 Dislikes, :867 Comments "
46,2nd ODI Highlights | Sri Lanka vs India 2021,":16M Views, :341.1K Likes, :13.4K Dislikes, :12.2K Comments "
47,STAR MAA EVENT MAKING || || Sreemukhi Latest Video || Sreemukhi,":515.5K Views, :19.2K Likes, :415 Dislikes, :790 Comments "
48,3G (Telugu Mini-Series) Episode 3 || Hey Pilla | CAPDT,":320.8K Views, :13.1K Likes, :268 Dislikes, :730 Comments "
49,The Road Roller || The Chimpanzee || Episode - 2 - Gujratri Comedy Web Series,":245.7K Views, :26.9K Likes, :366 Dislikes, :1.3K Comments "
50,LOGGY KA NAYA HOUSE TOUR 😂,":0.9M Views, :90.1K Likes, :1.4K Dislikes, :2.3K Comments "
